,prime,target,group,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
31,dente,tooth,congruent,19,FJOQEZFE,m,True,1.1832501999997476,27578.7855514,0.4778121999988798,0.10003589999905672,0.05096980000234908,0.04935529999784194,60.55134420914609
32,togo,fire,control,115,ZNFFREUS,m,True,0.6921228999999585,27580.646019200005,0.4784123000026739,0.10081439999703434,0.04902109999966342,0.050280600000405684,60.647815708980204
33,lago,lake,congruent,9,GFJJZMSC,m,True,0.955662799999118,27582.877430799996,0.4869889000001422,0.099679399998422,0.05010430000038468,0.05077970000274945,59.81090185326519
34,sapato,ladder,incongruent,56,LSAGQSQE,m,True,0.7852433000007295,27585.006324299997,0.484878999999637,0.09668190000229517,0.0522845999985293,0.048062400001072085,60.3216349567499
35,melhor,better,congruent,33,VNCBVIWR,z,True,0.895220700000209,27587.168130299997,0.474260900002264,0.10085599999729312,0.04999360000147135,0.04995720000079018,60.10959180692072
36,findo,bottom,control,141,NBMLBLOF,z,True,1.422187200001645,27589.8142329,0.4793969000020297,0.10049259999868808,0.04889560000083293,0.04906809999738471,59.65266638362359
37,lei,law,congruent,32,QOQUIKBA,z,True,0.7324036999998498,27591.7421722,0.4766769000016211,0.10211359999811977,0.04838799999924959,0.05123380000077304,60.341290337341206
38,daca,cow,control,100,SRWIIENU,m,True,0.9605774999981804,27593.972061400003,0.4814201999979559,0.09979680000105873,0.04851590000180295,0.05171419999896898,60.53565580408352
39,tarde,evening,congruent,40,DBRJCORK,z,True,0.917187200000626,27596.1790369,0.4828349000017624,0.10276929999963612,0.048778299998957664,0.05018740000014077,59.87511249130311
40,fome,soft,incongruent,78,VEPGPYNU,z,True,0.7116863999981433,27598.125051099996,0.4895257999996829,0.09855989999778103,0.053469099999347236,0.049868200003402315,60.125530081240406
41,momento,bottom,incongruent,92,AXFMXZPD,z,True,0.9228626000003716,27600.2471265,0.4851837000023807,0.09933710000041174,0.04962699999668985,0.04990430000179913,59.660673951168434
