,prime,target,class,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
42,escelar,climb,control,129,UVNXDTST,z,True,1.7453432000002067,27603.1920174,0.4863340000010794,0.1007867999978771,0.04960220000066329,0.049958799998421455,61.021189607028504
43,pome,hunger,control,128,QNNAGYSG,z,True,0.8607913999985612,27605.3740148,0.4806955999993079,0.09933269999964978,0.05118940000102157,0.050063599999703,60.11345814055199
44,daixa,box,control,117,DZIQOOHH,m,True,0.6682096999975329,27607.2300377,0.48384680000162916,0.10280929999862565,0.04812300000048708,0.05012960000021849,59.72334949969704
45,seco,dream,incongruent,88,JPQETKHA,z,True,0.8513464999996359,27609.2800822,0.48768510000081733,0.09778300000107265,0.050876099998276914,0.04953390000082436,59.881458664120544
46,prato,tooth,incongruent,70,SUKGKOBC,m,True,1.2435192000011739,27611.73907,0.4894767000005231,0.09982250000030035,0.04937019999852055,0.04970090000279015,59.52685673271526
47,banudo,straw,control,111,HOKHNBXE,m,True,1.1460775999985344,27614.111728,0.47774779999963357,0.10034020000239252,0.051071899997623404,0.050502500002039596,59.59720632089814
48,sonho,deep,incongruent,87,FRXXIYMX,z,True,0.7739141000020027,27616.1231699,0.4829591999987315,0.09879100000034668,0.05018940000081784,0.050241500000993256,60.61561215730705
49,escalar,climb,congruent,29,OCVMGNWV,z,True,1.0210187000011501,27618.3392366,0.48771710000073654,0.100845400000253,0.04920189999756985,0.050757200002408354,58.94856973115096
50,caixa,box,congruent,17,GEIHCRYM,m,True,1.0011529000003065,27620.5126391,0.48485660000005737,0.10085780000008526,0.0479661000026681,0.049370699998689815,59.969259756815866
51,metade,better,incongruent,84,WLOJGQGJ,z,True,0.9562702000002901,27623.8383002,0.4880054999994172,0.09832420000020647,0.050328400000580586,0.050019499998597894,59.920569293223906
52,tonho,dream,control,137,GTXFZPFC,z,True,0.877010700001847,27625.9307936,0.4775111000017205,0.10023549999823445,0.05190339999899152,0.049619699999311706,60.74459509695335
53,seco,dry,congruent,38,SVDKSNFQ,z,True,0.7036976000017603,27627.9051622,0.486175899997761,0.1018420000000333,0.05050160000246251,0.04859709999800543,59.9830727767183
54,cebar,blind,control,125,EXNSUQWS,z,True,1.900795300000027,27631.0407677,0.48966700000164565,0.09921250000115833,0.052594599997974,0.050389500000164844,60.133014227436064
